problem,method,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P4_quad_1000_1000,GradientDescent,ok,1000,9963,9964,0,0.3791287919739261,-2321.6660609140595,1.2406555677663307,
P4_quad_1000_1000,GradientDescentW,ok,1000,9963,9964,0,0.3725636249873787,-2321.6660609140595,1.2406555677663307,
P4_quad_1000_1000,Newton,ok,1,2,3,1,0.008042417000979185,-2339.1972246795985,8.240963467187612e-12,
P4_quad_1000_1000,NewtonW,ok,1,2,3,1,0.00857629207894206,-2339.1972246795985,8.240963467187612e-12,
P4_quad_1000_1000,TRNewtonCG,ok,9,10,11,9,0.01432399998884648,-2339.197224679393,1.1895333894784699e-05,
P4_quad_1000_1000,TRSR1CG,ok,219,220,194,0,0.39024741703178734,-2339.1971880790034,0.004615253994453283,
P4_quad_1000_1000,BFGS,ok,345,2696,2697,0,4.019976458977908,-2339.1971962038037,0.0046709797196786695,
P4_quad_1000_1000,BFGSW,ok,345,2696,2697,0,4.101670374977402,-2339.1971962038037,0.0046709797196786695,
P4_quad_1000_1000,DFP,ok,232,1182,1183,0,0.47880366700701416,-2339.197184886834,0.0048828975101100625,
P4_quad_1000_1000,DFPW,ok,232,1182,1183,0,0.48434225004166365,-2339.197184886834,0.0048828975101100625,
P5_quartic_1e-4,GradientDescent,ok,2,3,4,0,8.304091170430183e-05,1.600925598052903e-19,4.191681671900094e-10,
P5_quartic_1e-4,GradientDescentW,ok,2,3,4,0,3.5624951124191284e-05,1.600925598052903e-19,4.191681671900094e-10,
P5_quartic_1e-4,Newton,ok,2,3,4,2,0.00012749992311000824,3.778904386417301e-17,6.438156304952591e-09,
P5_quartic_1e-4,NewtonW,ok,2,3,4,2,6.458291318267584e-05,3.778904386417301e-17,6.438156304952591e-09,
P5_quartic_1e-4,TRNewtonCG,ok,3,4,5,3,9.833299554884434e-05,9.703352055728745e-27,8.472462640317369e-14,
P5_quartic_1e-4,TRSR1CG,ok,3,4,5,0,8.170900400727987e-05,3.3611074697507825e-13,5.361924621995901e-07,
P5_quartic_1e-4,BFGS,ok,3,4,5,0,6.0709076933562756e-05,1.120680382267913e-19,3.81247091146123e-10,
P5_quartic_1e-4,BFGSW,ok,3,4,5,0,6.41669612377882e-05,1.120680382267913e-19,3.81247091146123e-10,
P5_quartic_1e-4,DFP,ok,3,4,5,0,5.358306225389242e-05,1.1035544219228701e-19,3.7831701744299277e-10,
P5_quartic_1e-4,DFPW,ok,3,4,5,0,5.324999801814556e-05,1.1035544219228701e-19,3.7831701744299277e-10,
P6_quartic_1e4,GradientDescent,ok,5,73,74,0,0.00038104201667010784,0.0010306706149709854,0.21112423140006314,
P6_quartic_1e4,GradientDescentW,ok,5,73,74,0,0.00038558291271328926,0.0010306706149709854,0.21112423140006314,
P6_quartic_1e4,Newton,ok,12,13,14,12,0.00027908291667699814,0.0007037872652871125,0.17463310155234005,
P6_quartic_1e4,NewtonW,ok,12,13,14,12,0.0002738330513238907,0.0007037872652871125,0.17463310155234005,
P6_quartic_1e4,TRNewtonCG,ok,12,13,14,12,0.00042979198042303324,0.0007037872652870911,0.1746331015523357,
P6_quartic_1e4,TRSR1CG,ok,27,28,26,0,0.0008233750704675913,0.0011098306484557895,0.29903035560424834,
P6_quartic_1e4,BFGS,ok,28,97,98,0,0.0008341249777004123,0.0012681602677137047,0.2310867027638481,
P6_quartic_1e4,BFGSW,ok,28,97,98,0,0.000824916991405189,0.0012681602677137047,0.2310867027638481,
P6_quartic_1e4,DFP,ok,18,86,87,0,0.0007628750754520297,0.0012711492341511098,0.3075484481295461,
P6_quartic_1e4,DFPW,ok,18,86,87,0,0.0006401250138878822,0.0012711492341511098,0.3075484481295461,
P7_rosenbrock_2,GradientDescent,ok,1000,9834,9835,0,0.05130416702013463,0.000748424735481543,0.05394473610345063,
P7_rosenbrock_2,GradientDescentW,ok,1000,9883,9884,0,0.05332229204941541,0.00033707979498187515,0.022537978838639186,
P7_rosenbrock_2,Newton,ok,20,28,29,20,0.0004393329145386815,8.51707498558393e-12,0.00010573560453160462,
P7_rosenbrock_2,NewtonW,ok,20,28,29,20,0.00040191691368818283,8.51707498558393e-12,0.00010573560453160462,
P7_rosenbrock_2,TRNewtonCG,ok,23,24,22,23,0.0005261250771582127,2.8966890908194226e-12,4.080248168219156e-06,
P7_rosenbrock_2,TRSR1CG,ok,109,110,81,0,0.002335708006285131,3.0572432475132554e-12,1.0180334093718044e-05,
P7_rosenbrock_2,BFGS,ok,33,53,54,0,0.0005844170227646828,1.866037041365441e-13,9.71690991338331e-06,
P7_rosenbrock_2,BFGSW,ok,33,53,54,0,0.0006044170586392283,1.866037041365441e-13,9.71690991338331e-06,
P7_rosenbrock_2,DFP,ok,47,67,68,0,0.0007239580154418945,3.401815258042328e-13,2.793229847624603e-06,
P7_rosenbrock_2,DFPW,ok,35,57,58,0,0.0006057079881429672,1.207651986248933e-13,7.9647126334079e-07,
P8_rosenbrock_100,GradientDescent,ok,42,462,463,0,0.027392458985559642,3.9866238544026027,0.00020582608404045438,
P8_rosenbrock_100,GradientDescentW,ok,42,462,463,0,0.027751959045417607,3.9866238544026027,0.00020582608404045438,
P8_rosenbrock_100,Newton,ok,4,5,6,4,0.001000415999442339,3.9866238543009347,6.453247740623169e-07,
P8_rosenbrock_100,NewtonW,ok,4,5,6,4,0.0009161249035969377,3.9866238543009347,6.453247740623169e-07,
P8_rosenbrock_100,TRNewtonCG,ok,4,5,6,4,0.0010742919985204935,3.9866238543009347,9.115016201543006e-07,
P8_rosenbrock_100,TRSR1CG,ok,42,43,25,0,0.0033778329379856586,3.9866238543444825,0.00015102872207293068,
P8_rosenbrock_100,BFGS,ok,112,1012,1013,0,0.06618554191663861,3.986623854300937,4.772120920648604e-08,
P8_rosenbrock_100,BFGSW,ok,112,1012,1013,0,0.06646799994632602,3.986623854300937,4.772120920648604e-08,
P8_rosenbrock_100,DFP,ok,108,614,615,0,0.040497499983757734,3.986623854591845,0.0001652302750918388,
P8_rosenbrock_100,DFPW,ok,108,614,615,0,0.041156542021781206,3.986623854591845,0.0001652302750918388,
P9_datafit_2,GradientDescent,ok,530,2908,2909,0,0.013821000000461936,1.0069463050789388e-09,2.3745388380515652e-05,
P9_datafit_2,GradientDescentW,ok,530,2908,2909,0,0.014483209000900388,1.0069463050789388e-09,2.3745388380515652e-05,
P9_datafit_2,Newton,ok,8,16,17,8,0.0011281250044703484,3.3978924862586816e-15,5.0830672008758e-07,
P9_datafit_2,NewtonW,ok,8,16,17,8,0.00026958296075463295,3.3978924862586816e-15,5.0830672008758e-07,
P9_datafit_2,TRNewtonCG,ok,7,8,9,7,0.0001972919562831521,1.9508642652444104e-16,3.6920318467520766e-08,
P9_datafit_2,TRSR1CG,ok,19,20,18,0,0.00042033405043184757,3.173488750319495e-13,2.057666840829605e-06,
P9_datafit_2,BFGS,ok,14,23,24,0,0.00023716699797660112,3.802134374592178e-12,1.8406242301124063e-05,
P9_datafit_2,BFGSW,ok,14,23,24,0,0.0002447089646011591,3.802134374592178e-12,1.8406242301124063e-05,
P9_datafit_2,DFP,ok,21,30,31,0,0.00030333304312080145,3.715315359438708e-10,1.7454467147123324e-05,
P9_datafit_2,DFPW,ok,21,30,31,0,0.00031941605266183615,3.715315359438708e-10,1.7454467147123324e-05,
P10_exponential_10,GradientDescent,ok,27,42,43,0,0.0003463340690359473,-0.2055728089930578,2.7525462742983287e-06,
P10_exponential_10,GradientDescentW,ok,27,42,43,0,0.0003481250023469329,-0.2055728089930578,2.7525462742983287e-06,
P10_exponential_10,Newton,ok,13,31,32,13,0.001187874935567379,-0.20557277724175013,1.8313501630430832e-06,
P10_exponential_10,NewtonW,ok,13,31,32,13,0.000491832965053618,-0.20557277724175013,1.8313501630430832e-06,
P10_exponential_10,TRNewtonCG,ok,12,13,14,12,0.00039887509774416685,-0.20557277833424237,1.7838949536935527e-06,
P10_exponential_10,TRSR1CG,ok,17,18,19,0,0.0006516249850392342,-0.20557272882945557,3.6676642572603804e-06,
P10_exponential_10,BFGS,ok,19,22,23,0,0.0004758340073749423,-0.205572805386996,3.1365970164509704e-06,
P10_exponential_10,BFGSW,ok,23,28,29,0,0.0006903749890625477,-0.20557280893889363,3.099263508055117e-07,
P10_exponential_10,DFP,ok,1000,1006,1007,0,0.010849333018995821,-0.2055726616206736,0.0003983101646685139,
P10_exponential_10,DFPW,ok,104,224,225,0,0.0022153749596327543,-0.20557280894321017,6.006498210475719e-07,
P11_exponential_100,GradientDescent,ok,21,24,25,0,0.00022429099772125483,-0.2055728089957351,2.1655454220392834e-06,
