problem,sample_id,c1_ls,c2_ls,z1,z2,status,iterations,f_eval,g_eval,cpu_sec,grad_inf,converged,J,J_star,rel_dev
P1_quad_10_10,20,0.12487233560138014,0.1958175106640642,0.8717796093654244,0.1952079265170984,ok,40,134,135,0.00825990000157617,3.0052820624626442e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,21,0.07510277675511408,0.17772692332596188,0.8247884091151471,0.17708108549695578,ok,41,138,139,0.008738199998333585,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,22,0.13906842407243297,0.16722027706489004,0.8817312154407694,0.16655338383255514,ok,40,134,135,0.0036111000008531846,3.005282062451542e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,23,0.055312723818128975,0.1528315915590618,0.7965203101800181,0.15213586328563308,ok,41,138,139,0.004017699997348245,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,24,0.10363690012970037,0.16383811579103835,0.8545520423997208,0.16316444468039915,ok,38,127,128,0.003307799997855909,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,25,0.04881529004044128,0.07987515469918433,0.7849711470068568,0.07903322114146726,ok,41,138,139,0.0030738999994355254,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,26,0.08786858588684156,0.11139817394250716,0.8392974701902107,0.11061941276804324,ok,38,127,128,0.002427699997497257,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,27,0.04915367018680645,0.09029456489129853,0.7856096011894244,0.08947351191512878,ok,41,138,139,0.0026937000002362765,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,28,0.0563229766409296,0.1773738160160116,0.7981931349900288,0.17672727055712584,ok,41,138,139,0.002588600000308361,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,29,0.05218109271131691,0.09287747971214075,0.7911336241521136,0.0920616029179767,ok,41,138,139,0.0026184000016655773,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,30,0.09053459805921499,0.0913882807810679,0.8420599778611598,0.09056941962030851,ok,38,127,128,0.002744400000665337,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,31,0.03789474766650454,0.09274674057451296,0.76156668721652,0.0919306017780691,ok,41,138,139,0.002936999997473322,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,32,0.1134286430852764,0.18409519141530223,0.8628960672296025,0.18346211564659543,ok,40,134,135,0.0026087000005645677,3.0052820624626442e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,33,0.07228310505974402,0.1336986458619607,0.8212516352909376,0.13296457501198466,ok,41,138,139,0.0029814000008627772,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,34,0.07632515629250927,0.13480281077178266,0.8262805888741813,0.13407095267713692,ok,39,131,132,0.0026630000065779313,3.3397378062183236e-05,True,131.0,127.0,0.031496062992125984
P1_quad_10_10,35,0.038530496778169374,0.056792059971425425,0.763104383545639,0.055903867706839104,ok,41,138,139,0.0026564999934635125,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,36,0.09092607539945063,0.15766728726809526,0.8424587606613965,0.15698124976763053,ok,38,127,128,0.0029448999994201586,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,37,0.03670810640895589,0.13328560690799715,0.7586262475971551,0.13255070832464644,ok,41,138,139,0.0030130000013741665,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,38,0.03408618407234257,0.09037748613928992,0.751777172803029,0.08955659933796585,ok,41,138,139,0.003595999995013699,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,39,0.043808205872702205,0.05825476818419709,0.7749688685022589,0.05736950719859427,ok,41,138,139,0.0028881999969598837,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,40,0.07659181527417555,0.11113935799643233,0.826602927687129,0.11036007815273781,ok,39,131,132,0.0038267999989329837,3.3397378062183236e-05,True,131.0,127.0,0.031496062992125984
P1_quad_10_10,41,0.05999381023576382,0.134337377793965,0.8040286363987569,0.1336045869679008,ok,41,138,139,0.007068200000503566,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,42,0.04301548948077934,0.11010761113716637,0.773281137318341,0.10932626366449535,ok,41,138,139,0.0044639999978244305,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,43,0.14020614587306637,0.17277752771454724,0.8824842566187585,0.17212177125706135,ok,40,134,135,0.003060499999264721,3.005282062451542e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,44,0.07877000372735,0.11310048802173586,0.8291946665810744,0.11232513829833253,ok,39,131,132,0.0028321999998297542,3.3397378062183236e-05,True,131.0,127.0,0.031496062992125984
P1_quad_10_10,45,0.0363180161640595,0.08635851499147305,0.7576388260198614,0.08552957413975255,ok,41,138,139,0.002842399997462053,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,46,0.09948512765491813,0.150173527291739,0.850773288158708,0.1494724722362114,ok,38,127,128,0.0029936999999335967,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,47,0.06455889809726961,0.08232637711951157,0.8108066460620745,0.08148935583117392,ok,41,138,139,0.003259600001911167,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,48,0.08268362731824198,0.08940083369625802,0.8336762135514094,0.08857798967560924,ok,38,127,128,0.003030899999430403,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,49,0.09338904065147136,0.11345170335586059,0.8449289760153216,0.1126770574708022,ok,38,127,128,0.003005200000188779,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,50,0.03577976020637773,0.07690276068042386,0.7562588018967192,0.0760548704212664,ok,41,138,139,0.0031091999990167096,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,51,0.1343163651781337,0.17274095034932396,0.8785178298130035,0.17208512059050496,ok,40,134,135,0.00340919999871403,3.0052820624404397e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,52,0.07626362248233581,0.1528567598526372,0.8262060465605825,0.15216108201667053,ok,39,131,132,0.002610799994727131,3.3397378062183236e-05,True,131.0,127.0,0.031496062992125984
P1_quad_10_10,53,0.06793331895287226,0.1820737382016316,0.8155154915824233,0.1814366114244806,ok,41,138,139,0.003115100000286475,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,54,0.13778492142330873,0.1886633900793167,0.8808742530962547,0.1880394690173514,ok,40,134,135,0.003406799994991161,3.005282062451542e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,55,0.11997227189321051,0.17853643324749757,0.8680797875540995,0.17789221768286329,ok,40,134,135,0.0029015999971306883,3.0052820624626442e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,56,0.09785663032101634,0.16145641189484988,0.8492478677520932,0.1607779678305109,ok,38,127,128,0.003766699999687262,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,57,0.07697431872684352,0.1216372342893289,0.8270633458428882,0.12087899227387666,ok,39,131,132,0.0028796999977203086,3.3397378062183236e-05,True,131.0,127.0,0.031496062992125984
