method,c1_ls,c2_ls,success_rate,avg_iterations,avg_f_eval,avg_g_eval,avg_cpu_sec
DFPW,5e-05,0.6,1.0,175.83333333333334,355.1666666666667,356.1666666666667,0.40159447500006235
DFPW,5e-05,0.7,1.0,157.41666666666666,338.5,339.5,0.4179389416664587
DFPW,5e-05,0.8,1.0,151.91666666666666,340.6666666666667,341.6666666666667,0.4069721999999274
DFPW,5e-05,0.9,1.0,138.91666666666666,293.9166666666667,294.9166666666667,0.4066571666668703
DFPW,5e-05,0.99,1.0,148.16666666666666,289.9166666666667,290.9166666666667,0.41423649999978807
DFPW,0.0001,0.1,1.0,52.333333333333336,264.0,265.0,0.39595134166650797
DFPW,0.0001,0.2,1.0,111.16666666666667,977.6666666666666,978.6666666666666,0.41771156666648795
DFPW,0.0001,0.3,1.0,54.833333333333336,243.91666666666666,244.91666666666666,0.4171848083333316
DFPW,0.0001,0.4,1.0,56.75,254.66666666666666,255.66666666666666,0.41836554166699597
DFPW,0.0001,0.5,1.0,137.83333333333334,732.25,733.25,0.43928778333323254
DFPW,0.0001,0.6,1.0,175.66666666666666,355.25,356.25,0.4274146500000218
DFPW,0.0001,0.7,1.0,157.25,338.5833333333333,339.5833333333333,0.40431637499978024
DFPW,0.0001,0.8,1.0,151.83333333333334,340.8333333333333,341.8333333333333,0.4062636083331199
DFPW,0.0001,0.9,1.0,138.66666666666666,293.9166666666667,294.9166666666667,0.405482991666607
DFPW,0.0001,0.99,1.0,147.91666666666666,289.9166666666667,290.9166666666667,0.40044445833351955
DFPW,0.0005,0.1,1.0,47.083333333333336,260.5,261.5,0.33132115000004586
DFPW,0.0005,0.2,1.0,105.91666666666667,974.1666666666666,975.1666666666666,0.34398639166647627
DFPW,0.0005,0.3,1.0,49.583333333333336,240.41666666666666,241.41666666666666,0.32886459999978496
DFPW,0.0005,0.4,1.0,51.5,251.16666666666666,252.16666666666666,0.3300443500000559
DFPW,0.0005,0.5,1.0,132.58333333333334,728.75,729.75,0.34004105833340265
DFPW,0.0005,0.6,1.0,170.41666666666666,351.75,352.75,0.33617330833309705
DFPW,0.0005,0.7,1.0,152.0,335.0833333333333,336.0833333333333,0.33328338333330976
DFPW,0.0005,0.8,1.0,146.58333333333334,349.0833333333333,350.0833333333333,0.3365191166662953
DFPW,0.0005,0.9,1.0,133.41666666666666,290.4166666666667,291.4166666666667,0.33949218333327735
DFPW,0.0005,0.99,1.0,142.66666666666666,286.4166666666667,287.4166666666667,0.3335534333335393
DFPW,0.001,0.1,1.0,44.416666666666664,205.0,206.0,0.3300700416669618
DFPW,0.001,0.2,1.0,104.25,941.4166666666666,942.4166666666666,0.34755237500000175
DFPW,0.001,0.3,1.0,42.916666666666664,190.58333333333334,191.58333333333334,0.33111919999995126
DFPW,0.001,0.4,1.0,47.916666666666664,205.16666666666666,206.16666666666666,0.32993764166697775
DFPW,0.001,0.5,1.0,124.0,678.8333333333334,679.8333333333334,0.3370091333331402
