problem,method,c1_ls,c2_ls,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,GradientDescentW,0.01,0.2,ok,44,149,150,0,0.0010103000004164642,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.3,ok,44,149,150,0,0.0010144000007130671,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.4,ok,44,149,150,0,0.0010124000000359956,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.5,ok,44,149,150,0,0.001012500000797445,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.6,ok,44,149,150,0,0.0010160000001633307,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.7,ok,44,149,150,0,0.0009996999997383682,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.8,ok,44,149,150,0,0.0010130999999091728,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.9,ok,44,149,150,0,0.0009877000011329073,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.01,0.99,ok,44,149,150,0,0.0009969000002456596,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,0.05,0.1,ok,41,138,139,0,0.0009195999991788995,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.2,ok,41,138,139,0,0.0009234999997715931,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.3,ok,41,138,139,0,0.0009184999998979038,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.4,ok,41,138,139,0,0.0009453999991819728,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.5,ok,41,138,139,0,0.0009398000001965556,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.6,ok,41,138,139,0,0.000934600000618957,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.7,ok,41,138,139,0,0.000920300000871066,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.8,ok,41,138,139,0,0.0009253999996872153,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.9,ok,41,138,139,0,0.0009207999992213445,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,GradientDescentW,0.05,0.99,ok,41,138,139,0,0.0009260000006179325,-71.42912991255267,4.367857212450588e-05,
P1_quad_10_10,NewtonW,1e-05,0.1,ok,1,2,3,1,0.001890899999125395,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.2,ok,1,2,3,1,6.669999856967479e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.3,ok,1,2,3,1,4.129999979340937e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.4,ok,1,2,3,1,3.66000003850786e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.5,ok,1,2,3,1,3.589999869291205e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.6,ok,1,2,3,1,3.5799999750452116e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.7,ok,1,2,3,1,3.509999987727497e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.8,ok,1,2,3,1,3.4800001230905764e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.9,ok,1,2,3,1,3.899999865097925e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,1e-05,0.99,ok,1,2,3,1,3.409999953873921e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.1,ok,1,2,3,1,3.5400000342633575e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.2,ok,1,2,3,1,3.5600000046542846e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.3,ok,1,2,3,1,3.400000059627928e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.4,ok,1,2,3,1,3.429999924264848e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.5,ok,1,2,3,1,3.389999983482994e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.6,ok,1,2,3,1,3.619999915827066e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.7,ok,1,2,3,1,3.3799999073380604e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.8,ok,1,2,3,1,3.66000003850786e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,5e-05,0.9,ok,1,2,3,1,3.470000046945643e-05,-71.42912991377418,5.329070518200751e-15,
