problem,method,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P5_quartic_1e-4,DFPW,ok,3,4,5,0,0.00019291700300527737,1.1035544219228701e-19,3.7831701744299277e-10,
P6_quartic_1e4,GradientDescent,ok,5,73,74,0,0.001858791001723148,0.0010306706149709854,0.21112423140006314,
P6_quartic_1e4,GradientDescentW,ok,5,73,74,0,0.0013492079960997216,0.0010306706149709854,0.21112423140006314,
P6_quartic_1e4,Newton,ok,12,13,14,12,0.0009349999963887967,0.0007037872652871125,0.17463310155234005,
P6_quartic_1e4,NewtonW,ok,12,13,14,12,0.0008379169958061539,0.0007037872652871125,0.17463310155234005,
P6_quartic_1e4,TRNewtonCG,ok,12,13,14,12,0.0018458749982528389,0.0007037872652870911,0.1746331015523357,
P6_quartic_1e4,TRSR1CG,ok,27,28,26,0,0.003613499997300096,0.0011098306484557895,0.29903035560424834,
P6_quartic_1e4,BFGS,ok,28,97,98,0,0.00239516599685885,0.0012681602677137047,0.2310867027638481,
P6_quartic_1e4,BFGSW,ok,28,97,98,0,0.0032005840039346367,0.0012681602677137047,0.2310867027638481,
P6_quartic_1e4,DFP,ok,18,86,87,0,0.0025651660034782253,0.0012711492341511098,0.3075484481295461,
P6_quartic_1e4,DFPW,ok,18,86,87,0,0.002303166998899542,0.0012711492341511098,0.3075484481295461,
P7_rosenbrock_2,GradientDescent,ok,1000,9834,9835,0,0.1735768750004354,0.000748424735481543,0.05394473610345063,
P7_rosenbrock_2,GradientDescentW,ok,1000,9883,9884,0,0.1424067499974626,0.00033707979498187515,0.022537978838639186,
P7_rosenbrock_2,Newton,ok,20,28,29,20,0.0010182499972870573,8.51707498558393e-12,0.00010573560453160462,
P7_rosenbrock_2,NewtonW,ok,20,28,29,20,0.0009018329947139136,8.51707498558393e-12,0.00010573560453160462,
P7_rosenbrock_2,TRNewtonCG,ok,23,24,22,23,0.0013366250059334561,2.8966890908194226e-12,4.080248168219156e-06,
P7_rosenbrock_2,TRSR1CG,ok,109,110,81,0,0.005815666998387314,3.0572432475132554e-12,1.0180334093718044e-05,
P7_rosenbrock_2,BFGS,ok,33,53,54,0,0.0015028330017230473,1.866037041365441e-13,9.71690991338331e-06,
P7_rosenbrock_2,BFGSW,ok,33,53,54,0,0.0016150000010384247,1.866037041365441e-13,9.71690991338331e-06,
P7_rosenbrock_2,DFP,ok,47,67,68,0,0.0016825839993543923,3.401815258042328e-13,2.793229847624603e-06,
P7_rosenbrock_2,DFPW,ok,35,57,58,0,0.001393457998347003,1.207651986248933e-13,7.9647126334079e-07,
P8_rosenbrock_100,GradientDescent,ok,42,462,463,0,0.07484629200189374,3.9866238544026027,0.00020582608404045438,
P8_rosenbrock_100,GradientDescentW,ok,42,462,463,0,0.08373491599923,3.9866238544026027,0.00020582608404045438,
P8_rosenbrock_100,Newton,ok,4,5,6,4,0.0037805410029250197,3.9866238543009347,6.453247740623169e-07,
P8_rosenbrock_100,NewtonW,ok,4,5,6,4,0.003064459000597708,3.9866238543009347,6.453247740623169e-07,
P8_rosenbrock_100,TRNewtonCG,ok,4,5,6,4,0.00294762499834178,3.9866238543009347,9.115016201543006e-07,
P8_rosenbrock_100,TRSR1CG,ok,42,43,25,0,0.011793833000410814,3.9866238543444825,0.00015102872207293068,
P8_rosenbrock_100,BFGS,ok,112,1012,1013,0,0.2098673750006128,3.986623854300937,4.772120920648604e-08,
P8_rosenbrock_100,BFGSW,ok,112,1012,1013,0,0.3339023750013439,3.986623854300937,4.772120920648604e-08,
P8_rosenbrock_100,DFP,ok,108,614,615,0,0.0971743330010213,3.986623854591845,0.0001652302750918388,
P8_rosenbrock_100,DFPW,ok,108,614,615,0,0.09779587500088383,3.986623854591845,0.0001652302750918388,
P9_datafit_2,GradientDescent,ok,530,2908,2909,0,0.033398749998013955,1.0069463050789388e-09,2.3745388380515652e-05,
P9_datafit_2,GradientDescentW,ok,530,2908,2909,0,0.03436912500183098,1.0069463050789388e-09,2.3745388380515652e-05,
P9_datafit_2,Newton,ok,8,16,17,8,0.0008266660006484017,3.3978924862586816e-15,5.0830672008758e-07,
P9_datafit_2,NewtonW,ok,8,16,17,8,0.0006435000032070093,3.3978924862586816e-15,5.0830672008758e-07,
P9_datafit_2,TRNewtonCG,ok,7,8,9,7,0.0004462080032681115,1.9508642652444104e-16,3.6920318467520766e-08,
P9_datafit_2,TRSR1CG,ok,19,20,18,0,0.0009799580002436414,3.173488750319495e-13,2.057666840829605e-06,
P9_datafit_2,BFGS,ok,14,23,24,0,0.000552958001208026,3.802134374592178e-12,1.8406242301124063e-05,
P9_datafit_2,BFGSW,ok,14,23,24,0,0.0005626669953926466,3.802134374592178e-12,1.8406242301124063e-05,
P9_datafit_2,DFP,ok,21,30,31,0,0.0006773749992134981,3.715315359438708e-10,1.7454467147123324e-05,
P9_datafit_2,DFPW,ok,21,30,31,0,0.0007042090001050383,3.715315359438708e-10,1.7454467147123324e-05,
P10_exponential_10,GradientDescent,ok,27,42,43,0,0.0007936659967526793,-0.2055728089930578,2.7525462742983287e-06,
P10_exponential_10,GradientDescentW,ok,27,42,43,0,0.0008141250000335276,-0.2055728089930578,2.7525462742983287e-06,
P10_exponential_10,Newton,ok,13,31,32,13,0.003173458004312124,-0.20557277724175013,1.8313501630430832e-06,
P10_exponential_10,NewtonW,ok,13,31,32,13,0.001013417000649497,-0.20557277724175013,1.8313501630430832e-06,
P10_exponential_10,TRNewtonCG,ok,12,13,14,12,0.0009563339990563691,-0.20557277833424237,1.7838949536935527e-06,
P10_exponential_10,TRSR1CG,ok,17,18,19,0,0.002013874996919185,-0.20557272882945557,3.6676642572603804e-06,
P10_exponential_10,BFGS,ok,19,22,23,0,0.0010361250024288893,-0.205572805386996,3.1365970164509704e-06,
P10_exponential_10,BFGSW,ok,23,28,29,0,0.001127000003180001,-0.20557280893889363,3.099263508055117e-07,
P10_exponential_10,DFP,ok,1000,1006,1007,0,0.025007583004480693,-0.2055726616206736,0.0003983101646685139,
P10_exponential_10,DFPW,ok,104,224,225,0,0.005299415999616031,-0.20557280894321017,6.006498210475719e-07,
P11_exponential_100,GradientDescent,ok,21,24,25,0,0.0005314999943948351,-0.2055728089957351,2.1655454220392834e-06,
P11_exponential_100,GradientDescentW,ok,18,23,24,0,0.0005114169980515726,-0.20557280899403352,2.5542728557814698e-06,
P11_exponential_100,Newton,ok,13,31,32,13,0.003600874995754566,-0.20557245965841175,1.8313501630430832e-06,
P11_exponential_100,NewtonW,ok,13,31,32,13,0.003315666996059008,-0.20557245965841175,1.8313501630430832e-06,
P11_exponential_100,TRNewtonCG,ok,13,14,15,13,0.0015115419955691323,-0.20557238933350308,2.1014152777095254e-06,
P11_exponential_100,TRSR1CG,ok,18,19,20,0,0.002214042004197836,-0.2055724053677582,2.227399839516142e-06,
P11_exponential_100,BFGS,ok,10,14,15,0,0.0013901669954066165,-0.20557280899083802,4.644020501487489e-09,
P11_exponential_100,BFGSW,ok,6,14,15,0,0.001022374999593012,-0.20557280899072836,3.4399881199131954e-07,
P11_exponential_100,DFP,ok,10,14,15,0,0.0009989999962272123,-0.20557280899083535,4.671142916912174e-09,
P11_exponential_100,DFPW,ok,6,14,15,0,0.0007643339995411225,-0.20557280899072863,3.3908226521051077e-07,
P12_genhumps_5,GradientDescent,ok,189,350,351,0,0.00750174999848241,9.282795543544181e-08,9.634726534763607e-05,
P12_genhumps_5,GradientDescentW,ok,218,502,503,0,0.010608917000354268,9.231658310184787e-08,9.608151908568874e-05,
P12_genhumps_5,Newton,ok,69,94,95,69,0.007317000003240537,1.1121406921733607e-14,6.630352403522824e-08,
P12_genhumps_5,NewtonW,ok,60,111,112,60,0.0066914580020238645,2.054720146225381e-09,2.4157191989840546e-05,
P12_genhumps_5,TRNewtonCG,ok,103,104,83,103,0.005397041000833269,1.343216793455525e-13,2.2041277723153324e-07,
P12_genhumps_5,TRSR1CG,ok,135,136,101,0,0.006497084003058262,5.975935018818012e-09,4.45670175149947e-05,
P12_genhumps_5,BFGS,ok,59,86,87,0,0.0024359579983865842,8.161019303397273e-08,0.0001016529376535986,
P12_genhumps_5,BFGSW,ok,51,86,87,0,0.002381625003181398,5.684013047666333e-09,4.609877096362173e-05,
P12_genhumps_5,DFP,ok,1000,1052,1053,0,0.031642041001759935,1.7980890587292362,0.8184060248418463,
P12_genhumps_5,DFPW,ok,1000,1307,1308,0,0.037663416005671024,1.2496926037231344,0.6712569702409332,
